iter	Passed	Remaining
0	13	16089
1	22	13774
2	32	12890
3	42	12578
4	51	12300
5	60	12042
6	69	11873
7	79	11810
8	88	11764
9	98	11706
10	107	11656
11	117	11601
12	125	11497
13	135	11441
14	144	11393
15	153	11371
16	163	11388
17	173	11364
18	183	11389
19	191	11321
20	201	11289
21	210	11271
22	219	11244
23	229	11242
24	238	11214
25	248	11218
26	257	11199
27	267	11205
28	278	11246
29	288	11247
30	298	11242
31	307	11215
32	316	11191
33	326	11183
34	335	11152
35	343	11117
36	353	11096
37	362	11078
38	371	11063
39	380	11047
40	390	11037
41	399	11004
42	409	11013
43	418	10989
44	427	10978
45	437	10973
46	447	10967
47	456	10949
48	465	10923
49	474	10910
50	483	10892
51	492	10876
52	502	10865
53	510	10843
54	519	10823
55	528	10799
56	537	10774
57	546	10761
58	555	10743
59	564	10725
60	573	10707
61	582	10691
62	591	10673
63	601	10668
64	609	10648
65	618	10629
66	627	10613
67	636	10598
68	646	10592
69	655	10589
70	665	10581
71	674	10568
72	683	10552
73	693	10551
74	702	10530
75	711	10518
76	721	10528
77	732	10538
78	742	10531
79	751	10521
80	760	10508
81	770	10501
82	779	10486
83	787	10468
84	796	10453
85	806	10441
86	826	10571
87	836	10564
88	845	10549
89	854	10535
90	863	10525
91	873	10514
92	882	10502
93	891	10488
94	901	10483
95	910	10475
96	921	10473
97	930	10467
98	939	10447
99	948	10437
100	958	10433
101	968	10428
102	978	10417
103	987	10408
104	996	10396
105	1006	10390
106	1015	10372
107	1025	10364
108	1034	10351
109	1043	10336
110	1051	10317
111	1061	10310
112	1070	10301
113	1080	10294
114	1090	10287
115	1099	10275
116	1109	10266
117	1118	10253
118	1127	10244
119	1137	10233
120	1146	10220
121	1156	10214
122	1165	10204
123	1174	10195
124	1184	10186
125	1193	10177
126	1204	10175
127	1213	10165
128	1223	10155
129	1233	10154
130	1242	10135
131	1250	10120
132	1264	10140
133	1273	10131
134	1283	10126
135	1293	10116
136	1302	10104
137	1310	10088
138	1320	10075
139	1329	10067
140	1339	10059
141	1350	10059
142	1360	10053
143	1368	10038
144	1378	10026
145	1387	10014
146	1396	10003
147	1405	9989
148	1414	9975
149	1424	9974
150	1435	9971
151	1445	9963
152	1453	9948
153	1463	9939
154	1472	9930
155	1483	9925
156	1493	9919
157	1502	9910
158	1512	9899
159	1520	9885
160	1530	9877
161	1539	9862
162	1548	9852
163	1559	9849
164	1567	9830
165	1576	9818
166	1586	9812
167	1595	9803
168	1605	9797
169	1615	9786
170	1624	9777
171	1634	9768
172	1643	9755
173	1652	9743
174	1662	9735
175	1673	9734
176	1682	9724
177	1692	9717
178	1702	9711
179	1713	9711
180	1724	9706
181	1733	9698
182	1743	9689
183	1753	9681
184	1762	9670
185	1772	9661
186	1782	9657
187	1791	9645
188	1801	9637
189	1812	9635
190	1823	9634
191	1833	9626
192	1844	9621
193	1854	9614
194	1863	9605
195	1873	9595
196	1882	9583
197	1892	9575
198	1902	9567
199	1910	9554
200	1922	9557
201	1932	9549
202	1943	9545
203	1953	9537
204	1964	9532
205	1973	9520
206	1982	9510
207	1993	9507
208	2003	9501
209	2013	9493
210	2022	9481
211	2031	9466
212	2041	9458
213	2050	9447
214	2059	9436
215	2069	9427
216	2078	9414
217	2087	9404
218	2098	9398
219	2108	9392
220	2118	9386
221	2128	9375
222	2137	9366
223	2147	9356
224	2156	9343
225	2166	9337
226	2175	9324
227	2184	9313
228	2193	9302
229	2203	9292
230	2213	9284
231	2223	9275
232	2231	9261
233	2240	9250
234	2250	9241
235	2260	9232
236	2270	9226
237	2279	9213
238	2288	9202
239	2298	9193
240	2308	9187
241	2316	9172
242	2327	9165
243	2335	9150
244	2345	9141
245	2355	9134
246	2364	9123
247	2374	9114
248	2383	9102
249	2392	9093
250	2402	9082
251	2413	9078
252	2422	9068
253	2432	9061
254	2442	9051
255	2451	9038
256	2460	9028
257	2469	9015
258	2478	9006
259	2487	8994
260	2496	8982
261	2507	8976
262	2516	8966
263	2525	8952
264	2534	8941
265	2544	8935
266	2554	8926
267	2564	8917
268	2574	8909
269	2582	8896
270	2592	8887
271	2603	8881
272	2612	8870
273	2621	8860
274	2631	8850
275	2640	8839
276	2650	8831
277	2659	8819
278	2668	8807
279	2676	8794
280	2686	8784
281	2695	8774
282	2705	8766
283	2715	8758
284	2725	8749
285	2735	8742
286	2746	8735
287	2755	8725
288	2765	8717
289	2773	8702
290	2784	8697
291	2793	8686
292	2802	8675
293	2811	8663
294	2822	8657
295	2832	8651
296	2841	8640
297	2852	8634
298	2863	8628
299	2873	8619
300	2882	8610
301	2891	8598
302	2901	8589
303	2910	8579
304	2920	8568
305	2930	8561
306	2940	8553
307	2950	8543
308	2959	8532
309	2968	8522
310	2979	8516
311	2989	8509
312	2999	8499
313	3009	8490
314	3019	8483
315	3027	8470
316	3037	8461
317	3046	8450
318	3051	8428
319	3060	8415
320	3069	8405
321	3077	8392
322	3086	8380
323	3096	8372
324	3106	8362
325	3115	8352
326	3125	8343
327	3135	8334
328	3144	8325
329	3153	8314
330	3164	8307
331	3174	8299
332	3183	8288
333	3192	8278
